#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
722720	10059	120892	115370	125700	-	-	DNM1L	LRRK2	DLP1|DRP1|DVLP|DYMPLE|EMPF|HDYNIV	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	Affinity Capture-Western	physical	Wang X (2012)	22228096	9606	9606	Low Throughput	-	-	-	figure 5.	-	BIOGRID
722721	120892	10059	125700	115370	-	-	LRRK2	DNM1L	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	DLP1|DRP1|DVLP|DYMPLE|EMPF|HDYNIV	Affinity Capture-Western	physical	Wang X (2012)	22228096	9606	9606	Low Throughput	-	-	-	figure 5.	-	BIOGRID
722730	120892	55738	125700	120856	-	RP11-261N11.1	LRRK2	ARFGAP1	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	ARF1GAP|HRIHFB2281	Affinity Capture-Western	physical	Xiong Y (2012)	22423108	9606	9606	Low Throughput	-	-	-	figure 1.	-	BIOGRID
722731	55738	120892	120856	125700	RP11-261N11.1	-	ARFGAP1	LRRK2	ARF1GAP|HRIHFB2281	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	Affinity Capture-Western	physical	Xiong Y (2012)	22423108	9606	9606	Low Throughput	-	-	-	figure 1.	-	BIOGRID
722732	120892	55738	125700	120856	-	RP11-261N11.1	LRRK2	ARFGAP1	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	ARF1GAP|HRIHFB2281	Biochemical Activity	physical	Xiong Y (2012)	22423108	9606	9606	Low Throughput	-	Phosphorylation	-	figure 5.	-	BIOGRID
722733	120892	120892	125700	125700	-	-	LRRK2	LRRK2	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	Biochemical Activity	physical	Xiong Y (2012)	22423108	9606	9606	Low Throughput	-	Phosphorylation	-	figure 5.	-	BIOGRID
722736	120892	120892	125700	125700	-	-	LRRK2	LRRK2	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	Biochemical Activity	physical	Civiero L (2012)	22952686	9606	9606	Low Throughput	-	Phosphorylation	-	"figure 4.|figure 5,6. dimmerization."	-	BIOGRID
722737	120892	120892	125700	125700	-	-	LRRK2	LRRK2	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	Co-crystal Structure	physical	Civiero L (2012)	22952686	9606	9606	Low Throughput	-	-	-	"figure 5,6. dimmerization."	-	BIOGRID
722846	4131	120892	110304	125700	-	-	MAP1B	LRRK2	FUTSCH|MAP5|PPP1R102	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	Affinity Capture-Western	physical	Lee S (2010)	21159966	9606	9606	Low Throughput	-	-	-	figure 4.	-	BIOGRID
722847	120892	4131	125700	110304	-	-	LRRK2	MAP1B	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	FUTSCH|MAP5|PPP1R102	Affinity Capture-Western	physical	Lee S (2010)	21159966	9606	9606	Low Throughput	-	-	-	figure 4.	-	BIOGRID
722848	120892	4131	125700	110304	-	-	LRRK2	MAP1B	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	FUTSCH|MAP5|PPP1R102	Biochemical Activity	physical	Lee S (2010)	21159966	9606	9606	Low Throughput	-	Phosphorylation	-	figure 4.	-	BIOGRID
722849	120892	120892	125700	125700	-	-	LRRK2	LRRK2	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	Biochemical Activity	physical	Lee S (2010)	21159966	9606	9606	Low Throughput	-	Phosphorylation	-	figure 4.	-	BIOGRID
722850	120892	7846	125700	113603	-	-	LRRK2	TUBA1A	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	B-ALPHA-1|LIS3|TUBA3	Affinity Capture-Western	physical	Lee S (2010)	21159966	9606	9606	Low Throughput	-	-	-	figure 5.	-	BIOGRID
722857	120892	11140	125700	116312	-	-	LRRK2	CDC37	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	P50CDC37	Affinity Capture-Western	physical	Wang L (2008)	18367605	9606	9606	Low Throughput	-	-	-	figure 2.	-	BIOGRID
722858	120892	3320	125700	109552	-	-	LRRK2	HSP90AA1	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Affinity Capture-Western	physical	Wang L (2008)	18367605	9606	9606	Low Throughput	-	-	-	figure 2.	-	BIOGRID
722859	120892	3312	125700	109544	-	-	LRRK2	HSPA8	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Affinity Capture-Western	physical	Wang L (2008)	18367605	9606	9606	Low Throughput	-	-	-	figure 2.	-	BIOGRID
722860	120892	7846	125700	113603	-	-	LRRK2	TUBA1A	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	B-ALPHA-1|LIS3|TUBA3	Affinity Capture-Western	physical	Kawakami F (2012)	22303461	9606	9606	Low Throughput	-	-	-	figure 1.	-	BIOGRID
722861	120892	4137	125700	110308	-	-	LRRK2	MAPT	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	DDPAC|FTDP-17|MAPTL|MSTD|MTBT1|MTBT2|PPND|PPP1R103|TAU	Affinity Capture-Western	physical	Kawakami F (2012)	22303461	9606	9606	Low Throughput	-	-	-	figure 1.	-	BIOGRID
722862	120892	7846	125700	113603	-	-	LRRK2	TUBA1A	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	B-ALPHA-1|LIS3|TUBA3	Biochemical Activity	physical	Kawakami F (2012)	22303461	9606	9606	Low Throughput	-	Phosphorylation	-	figure 2.	-	BIOGRID
722863	120892	4137	125700	110308	-	-	LRRK2	MAPT	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	DDPAC|FTDP-17|MAPTL|MSTD|MTBT1|MTBT2|PPND|PPP1R103|TAU	Biochemical Activity	physical	Kawakami F (2012)	22303461	9606	9606	Low Throughput	-	Phosphorylation	-	figure 2.	-	BIOGRID
722864	120892	1978	125700	108293	-	-	LRRK2	EIF4EBP1	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	4E-BP1|4EBP1|BP-1|PHAS-I	Biochemical Activity	physical	Kumar A (2010)	20090955	9606	9606	Low Throughput	-	Phosphorylation	-	figure 1.	-	BIOGRID
722865	120892	120892	125700	125700	-	-	LRRK2	LRRK2	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	Biochemical Activity	physical	Kumar A (2010)	20090955	9606	9606	Low Throughput	-	Phosphorylation	-	figure 1.	-	BIOGRID
722868	120892	5606	125700	111592	-	-	LRRK2	MAP2K3	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	MAPKK3|MEK3|MKK3|PRKMK3|SAPKK-2|SAPKK2	Affinity Capture-Western	physical	Hsu CH (2010)	20173330	9606	9606	Low Throughput	-	-	-	figure 1.	-	BIOGRID
722869	5606	120892	111592	125700	-	-	MAP2K3	LRRK2	MAPKK3|MEK3|MKK3|PRKMK3|SAPKK-2|SAPKK2	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	Affinity Capture-Western	physical	Hsu CH (2010)	20173330	9606	9606	Low Throughput	-	-	-	figure 1.	-	BIOGRID
